type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,53211.981953125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.025,53213.90703125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.05,53223.978125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.1,53232.391015625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.15,53243.471484375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.2,53251.275,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.25,53262.779296875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.3,53270.484375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.35,53276.18046875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.4,53281.2390625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.45,53286.23984375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.5,53296.26953125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.55,53301.1,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.6,53308.4828125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.65,53316.9197265625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.7,53327.031640625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.75,53341.4130859375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.8,53365.403125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.85,53404.3892578125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.9,53486.062890625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.95,53651.6439453125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.975,53739.98330078125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.99,54194.1233984375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.01,53212.3042578125,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.025,53214.03623046875,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
