type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,53245.3246875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.025,53255.69716796875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.05,53260.64453125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.1,53275.451953125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.15,53284.6265625,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.2,53292.98359375,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.25,53299.4560546875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.3,53308.295703125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.35,53317.4822265625,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.4,53328.35546875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.45,53335.466015625,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.5,53340.640625,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.55,53353.9751953125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.6,53363.56328125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.65,53374.3423828125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.7,53401.75390625,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.75,53420.767578125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.8,53453.046875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.85,53479.36796875,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.9,53545.784375,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.95,53692.1740234375,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.975,53905.74453125,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.99,54571.091953124975,1.0 days ahead  cum death,2021-07-25,2021-07-26,New York State
quantile,0.01,53246.4863671875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.025,53256.22490234375,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.05,53260.925,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.1,53276.270703125,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.15,53285.1939453125,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.2,53294.04921875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.25,53299.962890625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.3,53308.78046875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.35,53318.5384765625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.4,53329.6015625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.45,53336.0953125,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.5,53341.24609375,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.55,53356.7134765625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.6,53367.25625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.65,53378.1927734375,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.7,53404.748046875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.75,53425.75,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.8,53461.4296875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.85,53486.1837890625,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.9,53563.5703125,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.95,53720.3779296875,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.975,53939.4408203125,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.99,54660.072695312476,2.0 days ahead  cum death,2021-07-25,2021-07-27,New York State
quantile,0.01,53247.5329296875,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.025,53256.7458984375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.05,53261.12890625,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.1,53276.6734375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.15,53286.2392578125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.2,53295.18046875,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.25,53300.505859375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.3,53309.2,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.35,53319.20546875,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.4,53330.9890625,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.45,53336.6775390625,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.5,53342.380859375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.55,53359.1923828125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.6,53370.0265625,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.65,53381.7537109375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.7,53407.621484375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.75,53430.7275390625,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.8,53469.7953125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.85,53492.045703125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.9,53582.0109375,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.95,53750.4439453125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.975,53974.748828125,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.99,54754.44886718747,3.0 days ahead  cum death,2021-07-25,2021-07-28,New York State
quantile,0.01,53248.6544140625,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.025,53257.2513671875,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.05,53261.4017578125,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.1,53276.945703125,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.15,53286.6591796875,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.2,53295.76328125,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.25,53301.1416015625,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.3,53309.65859375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.35,53319.8283203125,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.4,53332.31171875,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.45,53337.53984375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.5,53343.74609375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.55,53362.0462890625,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.6,53372.4234375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.65,53385.252734375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.7,53410.7734375,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.75,53435.564453125,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
quantile,0.8,53475.590625,4.0 days ahead  cum death,2021-07-25,2021-07-29,New York State
