type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,2108600.6825,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.025,2108673.43125,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.05,2109019.0625,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.1,2109435.85,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.15,2109930.15,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.2,2110306.3,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.25,2110697.25,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.3,2111011.675,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.35,2111264.875,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.4,2111560.85,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.45,2112076.35,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.5,2112501.75,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.55,2112784.475,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.6,2113081.15,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.65,2113470.7625,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.7,2114138.55,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.75,2114755.125,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.8,2115287.2,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.85,2117055.5875,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.9,2118198.825,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.95,2121393.475,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.975,2124384.2375,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.99,2126646.7275,10.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-05,New York State
quantile,0.01,2109491.495,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.025,2109727.01875,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.05,2109968.4,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.1,2110827.15,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.15,2111343.0875,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.2,2112039.3,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.25,2112685.25,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.3,2113107.1,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.35,2113740.7375,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.4,2114446.6,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.45,2114946.7125,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
quantile,0.5,2115479.75,20.0 days ahead cum model_0/Cumulative_cases_state,2021-07-26,2021-08-15,New York State
