type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,53212.518359375,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.025,53218.63984375,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.05,53223.851953125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.1,53235.815234375,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.15,53248.076953125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.2,53257.7828125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.25,53265.94140625,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.3,53273.032421875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.35,53282.2421875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.4,53294.82890625,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.45,53301.319140625,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.5,53312.90234375,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.55,53325.7341796875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.6,53337.0546875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.65,53348.83203125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.7,53360.227734375,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.75,53384.39453125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.8,53418.653125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.85,53451.36171875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.9,53515.84921875,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.95,53618.8705078125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.975,53772.54111328125,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.99,54252.29988281249,1.0 days ahead  cum death,2021-08-08,2021-08-09,New York State
quantile,0.01,53212.59796875,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.025,53218.782421875,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.05,53223.89453125,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.1,53236.062109375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.15,53248.3228515625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.2,53258.3671875,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.25,53266.4150390625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.3,53274.03828125,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.35,53283.25234375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.4,53295.8,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.45,53302.673046875,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.5,53313.474609375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.55,53326.66484375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.6,53338.565625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.65,53349.80859375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.7,53361.73984375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.75,53386.283203125,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.8,53422.70625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.85,53455.771875,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.9,53523.4625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.95,53627.5865234375,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.975,53794.9009765625,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.99,54298.86074218749,2.0 days ahead  cum death,2021-08-08,2021-08-10,New York State
quantile,0.01,53212.6428125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.025,53218.9900390625,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.05,53223.95078125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.1,53236.352734375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.15,53248.527734375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.2,53258.6515625,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.25,53266.8388671875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.3,53275.2984375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.35,53284.24296875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.4,53296.734375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.45,53304.2462890625,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.5,53313.970703125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.55,53327.5564453125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.6,53340.021875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.65,53351.528515625,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.7,53363.008203125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.75,53388.2060546875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.8,53426.89375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.85,53460.132421875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.9,53531.1703125,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.95,53637.21484375,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.975,53818.0123046875,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.99,54347.22031249999,3.0 days ahead  cum death,2021-08-08,2021-08-11,New York State
quantile,0.01,53212.6914453125,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.025,53219.09072265625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.05,53223.9921875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.1,53236.60546875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.15,53248.9119140625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.2,53258.95390625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.25,53267.26171875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.3,53275.854296875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.35,53284.769921875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.4,53297.665625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.45,53305.998828125,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.5,53314.53125,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.55,53328.434765625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.6,53341.46875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.65,53353.2072265625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.7,53364.23515625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.75,53390.287109375,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.8,53431.846875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.85,53464.52265625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.9,53538.725390625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.95,53647.0544921875,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.975,53841.83134765625,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.99,54397.39769531249,4.0 days ahead  cum death,2021-08-08,2021-08-12,New York State
quantile,0.01,53212.713046875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.025,53219.15009765625,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.05,53224.223828125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.1,53236.848828125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.15,53249.32421875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.2,53259.25234375,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.25,53267.6767578125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.3,53276.625,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.35,53285.1798828125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.4,53298.696875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.45,53307.73359375,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.5,53315.322265625,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.55,53329.299609375,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.6,53342.771875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.65,53354.7779296875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.7,53365.48828125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.75,53393.0673828125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.8,53435.690625,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.85,53468.91171875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.9,53547.265625,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.95,53657.00546875,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.975,53866.41533203125,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.99,54449.455078124985,5.0 days ahead  cum death,2021-08-08,2021-08-13,New York State
quantile,0.01,53212.79609375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.025,53219.30634765625,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.05,53224.4068359375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.1,53237.075,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.15,53249.717578125,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.2,53259.5171875,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.25,53268.08984375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.3,53277.7078125,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.35,53285.5849609375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.4,53299.63984375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.45,53309.0021484375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.5,53316.650390625,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.55,53330.1046875,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.6,53343.8140625,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.65,53356.249609375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.7,53367.208203125,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.75,53395.201171875,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.8,53440.4,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.85,53473.260546875,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.9,53555.5859375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.95,53666.9697265625,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.975,53891.7521484375,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.99,54503.45941406248,6.0 days ahead  cum death,2021-08-08,2021-08-14,New York State
quantile,0.01,53212.8291796875,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.025,53219.4107421875,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.05,53224.6123046875,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.1,53237.27890625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.15,53250.0833984375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.2,53259.78359375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.25,53268.56640625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.3,53278.48984375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.35,53286.503515625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.4,53300.61484375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.45,53310.05859375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.5,53317.845703125,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.55,53330.94609375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.6,53344.76484375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.65,53357.5296875,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.7,53368.9234375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.75,53397.0380859375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.8,53444.5515625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.85,53477.48984375,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.9,53561.0578125,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.95,53677.062890625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.975,53917.894140625,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.99,54559.48398437499,7.0 days ahead  cum death,2021-08-08,2021-08-15,New York State
quantile,0.01,53212.8811328125,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.025,53219.484765625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.05,53224.7876953125,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.1,53237.50625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.15,53250.4931640625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.2,53260.0296875,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.25,53269.052734375,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.3,53279.20703125,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.35,53287.2619140625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.4,53301.3890625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.45,53311.1419921875,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.5,53318.462890625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.55,53332.12109375,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.6,53345.6578125,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.65,53359.2810546875,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.7,53370.60546875,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.75,53398.9072265625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.8,53448.465625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.85,53481.729296875,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.9,53566.034765625,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.95,53687.3,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.975,53944.88486328125,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.99,54617.62328124998,8.0 days ahead  cum death,2021-08-08,2021-08-16,New York State
quantile,0.01,53212.921484375,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.025,53219.573828125,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.05,53224.9595703125,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.1,53237.712890625,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.15,53250.8638671875,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.2,53260.28359375,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.25,53269.509765625,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.3,53279.769921875,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.35,53288.023828125,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.4,53301.740625,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.45,53312.020703125,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.5,53319.208984375,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.55,53333.51640625,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.6,53346.515625,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
quantile,0.65,53360.736328125,9.0 days ahead  cum death,2021-08-08,2021-08-17,New York State
