type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,53226.50953125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.025,53234.032421875,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.05,53240.94609375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.1,53247.53203125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.15,53252.584765625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.2,53258.60546875,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.25,53264.0712890625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.3,53268.000390625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.35,53273.090234375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.4,53276.753125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.45,53284.7845703125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.5,53291.900390625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.55,53300.0677734375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.6,53315.5953125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.65,53325.937109375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.7,53332.97890625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.75,53351.24609375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.8,53368.0796875,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.85,53408.16796875,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.9,53444.294921875,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.95,53635.241015625,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.975,53719.3173828125,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.99,54019.9608984375,1.0 days ahead  cum death,2021-07-18,2021-07-19,New York State
quantile,0.01,53226.8459375,2.0 days ahead  cum death,2021-07-18,2021-07-20,New York State
quantile,0.025,53234.4833984375,2.0 days ahead  cum death,2021-07-18,2021-07-20,New York State
quantile,0.05,53241.439453125,2.0 days ahead  cum death,2021-07-18,2021-07-20,New York State
quantile,0.1,53248.2515625,2.0 days ahead  cum death,2021-07-18,2021-07-20,New York State
