type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,53247.750546875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.025,53252.94677734375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.05,53258.80390625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.1,53271.237890625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.15,53282.7005859375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.2,53292.7984375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.25,53300.6298828125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.3,53309.197265625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.35,53318.8060546875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.4,53328.00390625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.45,53338.0392578125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.5,53344.85546875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.55,53353.5634765625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.6,53364.22734375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.65,53369.8177734375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.7,53385.4,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.75,53393.4013671875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.8,53407.98125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.85,53421.7828125,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.9,53445.937109375,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.95,53523.8119140625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.975,53553.85478515625,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.99,53860.8010546875,1.0 days ahead  cum death,2021-08-01,2021-08-02,New York State
quantile,0.01,53248.03890625,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.025,53253.20791015625,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.05,53259.0802734375,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.1,53272.147265625,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.15,53283.112109375,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.2,53293.496875,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.25,53301.0703125,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.3,53310.59609375,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.35,53319.4712890625,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.4,53329.00390625,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.45,53338.7095703125,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
quantile,0.5,53345.796875,2.0 days ahead  cum death,2021-08-01,2021-08-03,New York State
