type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.05,2110495.4,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.1,2111087.85,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.15,2111612.9875,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.2,2112268.85,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.25,2112573.75,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.3,2112983.7,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.35,2113414.6625,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.4,2114040.4,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.45,2114443.35,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.5,2115323.5,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.55,2116160.5,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.6,2116753.55,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.65,2117554.1375,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.7,2118847.725,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.75,2121043.75,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.8,2122253.35,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.85,2124399.8,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.9,2128432.325,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.95,2139730.625,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.975,2145349.79375,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.99,2168863.1125,30.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-08,New York State
quantile,0.01,2109925.7475,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.025,2110287.03125,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.05,2110631.6125,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.1,2111463.025,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.15,2112013.0375,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.2,2112884.4,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.25,2113213.9375,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.3,2113667.55,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.35,2114192.075,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.4,2114900.1,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.45,2115592.2875,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.5,2116211.375,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.55,2117488.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.6,2118116.9,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.65,2119043.65,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.7,2120690.925,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.75,2123604.9375,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.8,2125985.55,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.85,2128758.7125,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.9,2133350.2,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.95,2151653.4,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.975,2159486.73125,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.99,2200113.505,40.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-18,New York State
quantile,0.01,2110009.845,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.025,2110371.4125,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.05,2110693.65,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.1,2111715.725,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.15,2112269.3625,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.2,2113075.05,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.25,2113577.0,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.3,2114040.25,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.35,2114722.875,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
